country,name,longName,foundingDate,population,capital,largestCity,area
14,Abkhazi,Republic of Abkhazi,6/20/1990,242862.0,Sukhum,,0.003344km
15,Abkhazi,Republic of Abkhazi,8/25/1990,242862.0,Sukhum,,0.003344km
16,Abkhazi,Republic of Abkhazi,8/26/2008,242862.0,Sukhum,,0.003344km
17,Abyei,Abyei Ar,1/9/2005,,Abyei (town),,0.004072km
18,Abyei,Abyei Ar,8/31/2008,,Abyei (town),,0.004072km
31,Adélie Land,Adélie Land,,,,,432000km
36,Adjar,Autonomous Republic of Ajar,,393700.0,Batum,,0.00112km
38,Aeric,Aerican Empir,5/8/1987,,Montre,,9000000km
41,Afghanist,Islamic Republic of Afghanist,8/19/1919,32564342.0,Kabu,Kabu,0.251827km
42,Afghanist,font-size:88%;,8/19/1919,32564342.0,Kabu,Kabu,0.251827km
44,,,6/3/1991,1053136000.0,,N,29865860km
45,,,6/3/1991,1053136000.0,,Lago,29865860km
63,Akrotiri and Dhekeli,Sovereign Base Areas,,7700.0,Episkopi Cantonmen,,9.8e-05km
64,Akrotiri and Dhekeli,f,,7700.0,Episkopi Cantonmen,,9.8e-05km
65,Akrotiri and Dhekeli,Akrotiri and Dhekeli,,7700.0,Episkopi Cantonmen,,9.8e-05km
68,Åland,Åland Islands,5/7/1920,28666.0,Mariehamn,,0.00061km
73,,Republic of Albani,4/7/1939,2893005.0,Tiran,Tiran,0.0111km
74,,Republic of Albani,11/29/1941,2893005.0,Tiran,Tiran,0.0111km
82,Alderney,Alderney,,2013.0,"Saint Anne, Alderney",,3e-06km
84,,People's Democratic Republic of Algeri,7/3/1962,40400000.0,Algiers,,0.919595km
85,,People's Democratic Republic of Algeri,7/5/1962,40400000.0,Algiers,,0.919595km
106,American Samo,Territory of American S,1889-06-14,54343.0,Pago Pago,,7.683e-05km
107,American Samo,Territory of American S,1899-12-02,54343.0,Pago Pago,,7.683e-05km
116,,Principality of Andorr,,85470.0,Andorra la Ve,,0.00018055000000000002km
124,,Republic of A,11/11/1975,,Luand,,0.481354km
125,Anguill,Angui,,13600.0,"The Valley, Angu",,91km
131,Anjou,Autonomous Island of Anjou,,277500.0,Mutsamudu,,0.000163km
134,,Antigua and Barbud,2/27/1967,91295.0,"St. John's, Antigua and Barbud",,0.00017km
135,,Antigua and Barbud,11/1/1981,91295.0,"St. John's, Antigua and Barbud",,0.00017km
143,,League of Arab States,3/22/1945,423000000.0,,,5.07042km
158,Argenti,Argentine Republic,1810-05-25,43417000.0,Buenos Aires,,2780400km
159,Argenti,Argentine Republic,1816-07-09,43417000.0,Buenos Aires,,2780400km
163,Armeni,Republic of Armeni,,,Yerevan,,0.011484km
175,Arub,Arub,3/18/1986,103400.0,"Oranjestad, Arub",,6.908e-05km
176,Ascension Island,Ascension Island,9/12/1922,880.0,"Georgetown, Ascension Island",,88km
180,Ashantiland,(Asanteman),,11700000.0,Kumas,Kum,120761km
181,Ashantiland,Ashantiland,,11700000.0,Kumas,Kum,120761km
182,Ashantiland,(Kingdom of Ashanti),,11700000.0,Kumas,Kum,120761km
185,,,8/8/1967,625000000.0,,,1.712602km
186,,,12/16/2008,625000000.0,,,1.712602km
203,Austenasi,Empire of Austenasi,9/20/2008,,Carshalton,,0.2327km
204,Australi,Commonwealth of Australi,1/1/1901,,Canberr,Sydn,7692024km
205,Australi,Commonwealth of Australi,9/3/1939,,Canberr,Sydn,7692024km
206,Australi,Commonwealth of Australi,10/9/1942,,Canberr,Sydn,7692024km
207,the Australian Antarctic Territory,Australian Antarctic Territory,,,Davis Station,,5896500km
209,Austri,Republic of Austri,,8662588.0,Vienn,,0.0323859km
221,Kosovo and Metohij,Kosovo and Metohij,,1804838.0,Pristin,,0.004212km
222,Kosovo and Metohij,Autonomous Province of,,1804838.0,Pristin,,0.004212km
224,Cri,Autonomous Republic of Cri,2/12/1991,,Simferopo,,0.010038km
225,Cri,Autonomous Republic of Cri,10/21/1998,,Simferopo,,0.010038km
230,Avatel,,,,,,5.4e-06km
231,Awdalland,Awdalland,,,Boram,,6122km
251,Azerbaij,Republic of Azerbaij,5/28/1918,9624900.0,Baku,,0.033436km
252,Azerbaij,Republic of Azerbaij,4/28/1920,9624900.0,Baku,,0.033436km
280,Bahrai,Kingdom of Bahrai,8/14/1971,1343000.0,Manam,,0.00029537km
281,Bahrai,Kingdom of Bahrai,8/15/1971,1343000.0,Manam,,0.00029537km
282,Guernsey,Bailiwick of Guernsey,,65849.0,,,3.01e-05km
293,,Baltic states,,6177650.0,,,0.067523km
297,Bangladesh,People's Republic of Bangladesh,8/14/1947,168957745.0,Dhak,Dhak,0.056977km
298,Bangladesh,People's Republic of Bangladesh,3/23/1956,168957745.0,Dhak,Dhak,0.056977km
306,Barbados,Barbados,11/30/1966,,Bridgetown,,0.000166km
309,Barotseland,Kingdom of Barotseland,,5153405.0,,,368823km
310,Barotziland-North-Western Rhodesi,,1899-11-28,,"Livingstone, Zamb",,0.182km
311,Barotziland-North-Western Rhodesi,,1899-11-28,,Kalomo,,0.182km
312,Basque Country,Basque Country,,3000000.0,Vitoria-Gasteiz,Bilbao,20947km
323,,,5/14/1997,1465236000.0,,,3499559km
324,,,1/31/2015,1465236000.0,,,3499559km
327,Belarus,Republic of Belarus,7/27/1990,9498700.0,Minsk,,0.080155km
328,Belarus,Republic of Belarus,8/25/1991,9498700.0,Minsk,,0.080155km
334,Belgiu,Kingdom of Belgiu,1830-10-04,,City of Brussels,,0.011787km
335,Belgiu,Kingdom of Belgiu,1839-04-19,,City of Brussels,,0.011787km
337,Beliz,Beliz,9/21/1981,347369.0,Belmopan,Belize ,0.008867km
341,Beni,Republic of Beni,8/1/1960,10879829.0,Porto-Novo,otonou,114763km
348,Bermud,Bermud,,,"Hamilton, Bermud",,2.0600000000000003e-05km
360,Bhut,Kingdom of Bhut,12/17/1907,742737.0,Thimphu,,0.014824km
361,Bhut,Kingdom of Bhut,8/8/1949,742737.0,Thimphu,,0.014824km
406,Bolivi,Plurinational State of Bolivi,1825-08-06,11410651.0,Sucre,Santa Cruz de la S,0.424163km
407,Bolivi,Plurinational State of Bolivi,1847-07-21,11410651.0,Sucre,Santa Cruz de la S,0.424163km
413,Bosnia and Herzegovi,Bosnia and Herzegovi,3/1/1992,,Sarajevo,,0.019741km
415,Botsw,Republic of Botsw,9/30/1966,2155784.0,Gaborone,,0.22461km
417,Bouvet Island,Bouvet Island,1/23/1928,,,,49km
418,Bouvet Island,Bouvet Island,12/1/1927,,,,49km
423,Brazil,Federative Republic of Brazi,1822-09-07,205338000.0,Brasí,São Paulo,3.287597km
424,Brazil,Federative Republic of Brazi,1825-08-29,205338000.0,Brasí,São Paulo,3.287597km
430,the British Antarctic Territory,British Antarctic Territory,,250.0,London,,0.66km
431,the British Antarctic Territory,British Antarctic Territory,,250.0,Rothera Research Station,,0.66km
445,British Indian Ocean Territory,British Indian Ocean Territory,,3000.0,,,0.021004km
457,,,,250000.0,,,1727570km
464,British Virgin Islands,Virgin Islands,,,Road Town,,5.9e-05km
469,Brunei,"tion of Brunei, Abode of Peac",,415717.0,Bandar Seri Begawan,Bandar Seri Begawan,0.002226km
477,Bulgari,Republic of Bulgari,,,Sof,,0.042823km
485,Bunyoro,Bunyoro-Kitara Kingd,,1400000.0,Hoim,Masind,0.003241km
486,,,,27000000.0,,Acc,238535km
492,,Burkina Fas,,17322796.0,Ouagadougou,,0.105869km
494,Burundi,Republic of Burundi,7/1/1962,11178921.0,Bujumbur,,27834km
520,,,4/21/1907,50000.0,,São Gabriel da Cacho,160000km
521,,,11/15/1928,50000.0,,São Gabriel da Cacho,160000km
527,Cambodi,Kingdom of Cambodi,,15458332.0,Phnom Penh,,0.069898km
528,Cameroo,Republic of Camer,1/1/1960,22534532.0,Yaoundé,,0.183569km
529,Cameroo,Republic of Camer,10/1/1961,22534532.0,Yaoundé,,0.183569km
532,Canad,,1867-07-01,35985751.0,Ottaw,Toronto,3.854085km
533,Canad,,12/11/1931,35985751.0,Ottaw,Toronto,3.854085km
536,Canton 10,Canton 10,6/12/1996,,Livno,Livno,0.0019050999999999998km
537,Canton 10,Canton 10,6/12/1996,,Tomislavgrad,Livno,0.0019050999999999998km
542,Cape Verd,Republic of Cabo Verd,7/5/1975,525000.0,Pr,,0.001557km
558,Carriacou and Petite Martiniqu,Carriacou and Petite Martiniqu,,6081.0,"Hillsborough, Carriacou",,1.3199999999999999e-05km
559,Cascadi,Cascadi,,15638140.0,,S,0.534572km
565,Cayman Islands,Cayman Islands,11/6/2009,,"George Town, Cayman Islands",,0.000102km
569,the Central African Republic,Central African Republic,8/13/1960,4709000.0,Bangu,,0.240534km
570,the Central African Republic,Central African Republic,12/4/1976,4709000.0,Bangu,,0.240534km
571,Central Bosni,Central Bosnia Cant,6/12/1996,,Travnik,Travnik,0.0012313km
577,Chad,Republic of Chad,8/11/1960,13670084.0,N'Djamen,,1284000km
608,Chil,Republic of Chi,1810-09-18,18006407.0,Santiago,,0.29193km
609,Chil,Republic of Chi,1818-02-12,18006407.0,Santiago,,0.29193km
612,the People's Republic of Chi,People's Republic of Chi,1/1/1912,1376049000.0,Beijing,Shangh,3.705407km
625,Christmas Island,Territory of Christmas Island,,2072.0,Flying Fish Cove,,5.2e-05km
647,Cocos Islands,Cocos (Keeling) Islands,,596.0,"West Island, Cocos (Keeling) Islands",,5.3e-06km
648,Cocos Islands,Territory of th,,596.0,"West Island, Cocos (Keeling) Islands",,5.3e-06km
653,the Collectivity of Saint Marti,Collectivity of Saint Marti,1648-03-23,,"Marigot, Saint Martin","Marigot, Saint Martin",2.05e-05km
654,the Collectivity of Saint Marti,Collectivity of Saint Marti,7/15/2007,,"Marigot, Saint Martin","Marigot, Saint Martin",2.05e-05km
656,Colombi,Republic of Colombi,1810-07-20,48400388.0,Bogotá,,0.440831km
657,Colombi,Republic of Colombi,1819-08-07,48400388.0,Bogotá,,0.440831km
686,Commander Islands,Commander Islands,,613.0,,,0.000712km
695,,Commonwealth of Independent States,5/15/1992,276917629.0,,Moscow,20996932km
697,,,11/19/1926,2328000000.0,,,11.56687km
698,,,12/11/1931,2328000000.0,,,11.56687km
703,Comoros,Union of the Comoros,7/6/1975,798000.0,"Moroni, Comoros",,0.000727km
708,,Conch Republic,4/23/1982,,,,15.4km
719,the Cook Islands,Cook Islands,8/4/1965,,Avaru,Avaru,9.1e-05km
726,Costa Ric,Republic of Costa Ric,1823-07-01,,"San José, Costa R",,0.019653km
727,Costa Ric,Republic of Costa Ric,1821-09-15,,"San José, Costa R",,0.019653km
812,Croati,Republic of Croati,,,Zagreb,,0.021851km
828,,Crozet Islands,,,,,352km
829,Cub,Republic of Cub,1895-02-24,,Havan,,0.042426km
830,Cub,Republic of Cub,1898-12-10,,Havan,,0.042426km
833,Curaçao,Country of Curaç,10/10/2010,152760.0,Willemstad,Willemstad,0.00017140000000000002km
838,Cyprus,Republic of Cyprus,2/19/1959,1141166.0,Nicos,,0.003572km
839,Cyprus,Republic of Cyprus,8/16/1960,1141166.0,Nicos,,0.003572km
842,Czech Republic,Czech Republic,,10541466.0,Prague,,0.03045km
859,,The Danish R,11/29/1978,5678348.0,,,42915.7km
860,,The Danish R,3/24/1948,5678348.0,,,42915.7km
869,Darfur,Darfur,,7500000.0,Al-Fashir,,493180km
870,Darfur,Darfur Regional Authority,5/5/2006,6000000.0,Al-Fashir,,493180km
871,Darfur,Darfur Regional Authority,4/23/2007,6000000.0,Al-Fashir,,493180km
896,the Democratic Republic of the Congo,Democratic Republic of the C,6/30/1960,81680000.0,Kinshas,,0.905355km
904,Denmark,Kingdom of Denmark,1849-06-05,5707251.0,Copenhagen,pital c,42923.5km
906,,,,40.0,,,2700203km
925,Djibouti,Republic of Djibouti,6/27/1977,810178.0,Djibouti (city),,0.008958km
928,Dominic,Commonwealth of Dominic,3/1/1967,72660.0,Roseau,,0.00029km
929,Dominic,Commonwealth of Dominic,11/3/1978,72660.0,Roseau,,0.00029km
930,Dominican Republic,Dominican Republic,1821-12-01,9980243.0,Santo Domingo,,48442km
931,Dominican Republic,Dominican Republic,1844-02-27,9980243.0,Santo Domingo,,48442km
1114,East Timor,Democratic Republic of Timor-Lest,2/10/1943,1201542.0,D,D,0.005743km
1115,East Timor,Democratic Republic of Timor-Lest,9/2/1945,1201542.0,D,D,0.005743km
1135,,,,416046863.0,,,3.06km
1136,Ecuador,Republic of Ecuador,1809-08-10,16144000.0,Quito,Guayaqu,0.109484km
1137,Ecuador,Republic of Ecuador,1822-05-24,16144000.0,Quito,Guayaqu,0.109484km
1139,Egypt,Arab Republic of Egypt,1805-07-09,85783.0,Cairo,,0.387048km
1142,El Salvador,Republic of El Salvador,1821-09-15,6377195.0,San Salvador,San Salvado,0.008124km
1143,El Salvador,Republic of El Salvador,1823-07-01,6377195.0,San Salvador,San Salvado,0.008124km
1180,Atlantiu,Empire of Atlantiu,11/27/1981,,,,0.76km
1200,Equatorial Gui,Republic of Equatorial Gui,10/12/1968,1.0,Malabo,"Bata, Equatorial Guin",0.01083km
1203,Eritr,State of Eritr,,6380803.0,Asmar,,0.045405km
1212,Estoni,Republic of Estoni,,1311759.0,Tallinn,,0.017505km
1214,Ethiopi,Federal Democratic Republic of Ethiopi,,99465819.0,Addis Abab,,0.426371km
1220,Eurasian Economic Unio,,10/10/2000,183319693.0,,Moscow,7.810557km
1363,,European Free Trade Associati,1/4/1960,13589956.0,,,0.204518km
1364,,European Free Trade Associati,5/3/1960,13589956.0,,,0.204518km
1366,,,1/1/1958,508191116.0,Brussels,,4324782km
1367,,,11/1/1993,508191116.0,Brussels,,4324782km
1368,Falkland Islands,Falkland Islands,,2932.0,"Stanley, Falkland Islands",,0.0047km
1372,Faroe Islands,Faroe Islands,1814-01-14,49709.0,Tórshavn,,0.00054km
1382,the Federated States of Micronesi,Federated States of Micronesi,11/3/1986,106104.0,Palikir,Weno,0.000271km
1387,Federation of Bosnia and Herzegovi,Federation of Bosnia and Herzegovi,3/18/1994,2371603.0,Sarajevo,,0.010085km
1388,Federation of Bosnia and Herzegovi,Federation of Bosnia and Herzegovi,12/14/1995,2371603.0,Sarajevo,,0.010085km
1397,Fiji,Republic of Fiji,10/10/1970,858038.0,Suv,Suv,0.007056km
1398,Fiji,Republic of Fiji,10/7/1987,858038.0,Suv,Suv,0.007056km
1399,Finland,Republic of Finland,1809-03-29,5486125.0,Helsink,,0.130596km
1400,Finland,Republic of Finland,12/6/1917,5486125.0,Helsink,,0.130596km
1448,Franc,French Republic,,66644000.0,Paris,pital c,0.2486km
1477,Triest,,2/10/1947,,Trieste,,0.000285km
1478,Triest,,1/10/1947,,Trieste,,0.000285km
1479,Christiani,Freetown Christiani,,,,,1.3e-07km
1498,French Polynesi,French Polynesi,,,Papeete,F,0.001609km
1506,the French Southern and Antarctic Lands,Territory of the French Southern and Antarctic Lands,,150.0,"Saint-Pierre, Réunion",,439781km
1521,Gabo,Gabonese Republic,8/17/1960,1475000.0,Libreville,,0.103347km
1522,Gagauzi,Autonomous Territorial Unit of Gagauzia (Gagauz Yeri),12/23/1994,160700.0,Comr,,0.000707km
1529,Galmudug,Galmudug State of Somali,8/14/2006,,Dhusamareb,Galkayo,146000km
1547,,Gaza Strip,,1850000.0,,Gaza ,365km
1557,,Saint-Pierre and Miqu,,,"Saint-Pierre, Saint Pierre and Miquelon","Saint-Pierre, Saint Pierre and Miquelon",9.340000000000001e-05km
1558,Georgi,Georgi,5/26/1918,3729500.0,Tbilis,pital c,0.026911km
1570,Germany,Federal Republic of Germany,0962-02-02,81459000.0,Berlin,pital c,0.137847km
1571,Germany,Federal Republic of Germany,1815-06-08,81459000.0,Berlin,pital c,0.137847km
1576,Gh,Republic of Gh,3/6/1957,27000000.0,Accr,,0.092099km
1586,Gibraltar,Gibraltar,1704-08-04,32194.0,,,2.6e-06km
1587,Gibraltar,Gibraltar,1713-04-11,32194.0,,,2.6e-06km
1611,Gold Coast Regio,Gold Coast,,25366462.0,,,238535km
1661,Flandrensis,Grand Duchy of Flandrensis,9/4/2008,237.0,,,14890km
1673,Lagoan Isles,Grand Duchy of the Lagoan Isles,8/16/2005,,,,0.043km
1678,Grande Comor,Autonomous Island of Grande Comor,,316600.0,"Moroni, Comoros",,1025km
1687,Greec,Hellenic Republic,1821-03-25,10955000.0,Athens,,0.050949km
1688,Greec,Hellenic Republic,1830-02-03,10955000.0,Athens,,0.050949km
1690,Greenland,Greenland,,55847.0,,,0.836109km
1691,Grenad,,3/3/1967,109590.0,"St. George's, Grenad",,0.0001328km
1692,Grenad,,2/7/1974,109590.0,"St. George's, Grenad",,0.0001328km
1695,Gu,Territory of Gu,,161785.0,"Hagåtña, Guam",,0.00021km
1699,Guatemal,Republic of Guat,1821-09-15,15806675.0,Guatemala City,Guatemala ,0.042042km
1700,Guatemal,Republic of Guat,1823-07-01,15806675.0,Guatemala City,Guatemala ,0.042042km
1702,Guernsey,Jurisdiction of Guernsey,5/9/1945,65849.0,Saint Peter Por,,3.01e-05km
1703,Gui,Republic of Gui,10/2/1958,8746128.0,Conakry,,0.094926km
1704,Guinea-Bissau,Republic of Guinea-Bissau,9/24/1973,1693398.0,Bissau,,0.013948km
1705,Guinea-Bissau,Republic of Guinea-Bissau,9/10/1974,1693398.0,Bissau,,0.013948km
1716,Guy,Co-operative Republic of Guy,,735554.0,"Georgetown, Guyan",,0.083km
1731,Haiti,Republic of Haiti,1804-01-01,10604000.0,Port-au-Prince,,0.010714km
1732,Haiti,Republic of Haiti,1844-02-27,10604000.0,Port-au-Prince,,0.010714km
1733,The Hajduk Republic of Mijat Tomić,Hajdučka Republika Mijata Tomić,6/29/2002,,,,3km
1764,Her,Her,,,,,7.7e-07km
1768,Herzegovina-Neretv,Herzegovina-Neretva Cant,6/12/1996,,Mostar,Mo,0.001699km
1821,Honduras,Republic of Honduras,1821-09-15,8249574.0,Tegucig,Tegucigalp,0.043278km
1822,Honduras,Republic of Honduras,1823-07-01,8249574.0,Tegucig,Tegucigalp,0.043278km
1826,Hong Kong,Hong Kong Special Administrative Region of the People's Republic of Chi,1841-01-26,7234800.0,,,0.000426km
1827,Hong Kong,Hong Kong Special Administrative Region of the People's Republic of Chi,1842-08-29,7234800.0,,,0.000426km
1849,Hungary,Hungary,1000-12-25,9855571.0,Budapes,List of historical capitals of Hun,0.035919km
1850,Hungary,Hungary,10/23/1989,9855571.0,Budapes,List of historical capitals of Hun,0.035919km
1859,Iceland,Iceland,,,Reykjavík,,0.039699km
1868,,Amsterdam Island,,,,,55km
1869,,(New Amsterdam),,,,,55km
1870,,Saint Paul Island,,,,,6km
1871,Les Saintes,,,,"Fond-du-Curé, les Saintes","Petite-Anse, les Sain",4.9000000000000005e-06km
1886,Indi,Republic of Indi,8/15/1947,1276267000.0,New Delh,Mumb,1.269346km
1887,Indi,Republic of Indi,1/26/1950,1276267000.0,New Delh,Mumb,1.269346km
1898,Indonesi,Republic of Indonesi,8/17/1945,255461700.0,Jakar,,0.735358km
1926,Ir,Islamic Republic of Ir,,78192200.0,Tehran,,0.636372km
1927,Iraq,Republic of Iraq,10/3/1932,37056169.0,Baghdad,,0.169234km
1928,Iraqi Kurdist,Kurdistan Regi,3/11/1970,8350000.0,Erb,,0.030399km
1938,Afghanist,,9/27/1996,,Kabu,,0.251827km
1939,Afghanist,,9/27/1996,,Kandahar,,0.251827km
1942,,Islands of Refreshment,1811-02-04,,,,207km
1944,Isle of M,Isle of M,,,"Douglas, Isle of Man",,0.000221km
1946,Israel,State of Isr,5/14/1948,8462000.0,Jerusalem,,0.008019km
1947,Israel,State of Isr,5/11/1949,8462000.0,Jerusalem,,0.008019km
1965,Italy,Italian Republic,1861-03-17,60795612.0,Rome,,0.116347km
1966,Italy,Italian Republic,6/2/1946,60795612.0,Rome,,0.116347km
1967,Ivory Coast,Republic of Côte d'Ivoir,8/7/1960,23919000.0,Abidjan,Abidjan,0.124502km
1968,Ivory Coast,Republic of Côte d'Ivoir,8/7/1960,23919000.0,Yamoussoukro,Abidjan,0.124502km
1975,Jamaic,Jamaic,8/6/1962,2950210.0,"Kingston, Jam",,0.004244km
1978,Jap,Jap,0660-02-11,126919659.0,Tokyo,,377944km
1979,Jap,Jap,1890-11-29,126919659.0,Tokyo,,377944km
1988,Jersey,Bailiwick of Jersey,5/9/1945,99500.0,Saint Helier,,4.5560000000000004e-05km
2007,Jord,Hashemite Kingdom of Jord,6/17/1946,,Amman,,0.035637km
2011,Jubaland,Jubaland State of Somali,4/3/2011,953045.0,Bu'ale,,0.033km
2012,Jubaland,Jubaland State of Somali,8/29/2013,953045.0,Bu'ale,,0.033km
2059,Karakalpakst,Republic of Karakalpakst,,1711800.0,Nukus,,0.0618km
2075,Kazakhst,Republic of Kazakhst,12/16/1991,17563300.0,Astan,Alm,1.052085km
2076,Kazakhst,Republic of Kazakhst,12/25/1991,17563300.0,Astan,Alm,1.052085km
2081,Keny,Republic of Keny,12/12/1963,45010056.0,Nairob,Nairob,0.22408km
2082,Keny,Republic of Keny,12/12/1964,45010056.0,Nairob,Nairob,0.22408km
2085,Kerguelen Islands,Kerguelen Islands,,45.0,,,7215km
2188,Dagbo,Kingdom of Dagb,,4228116.0,"Tamale, Ghan","Tamale, Ghan",97702km
2199,,Kingdom of Elleor,,,,,0.015km
2336,North Sud,Kingdom of North Sud,6/16/2014,0.0,,,2060km
2360,Reino de Redond,Kingdom of Redond,,,,,2km
2394,Tavolar,Kingdom of Tavolar,,57.0,,,5km
2400,the Netherlands,Kingdom of the Netherlands,1795-01-19,17100715.0,Amsterdam,,0.016478km
2401,the Netherlands,Kingdom of the Netherlands,1581-07-26,17100715.0,Amsterdam,,0.016478km
2402,the Netherlands,Kingdom of the Netherlands,1648-01-30,17100715.0,Amsterdam,,0.016478km
2425,Kiribati,Republic of Kiribati,7/12/1979,103500.0,Taraw,,0.000313km
2446,Kosovo,Republic of Kosov,1/31/1946,1859203.0,Pristin,,0.004212km
2447,Kosovo,Republic of Kosov,7/2/1990,1859203.0,Pristin,,0.004212km
2463,Kuwait,State of Kuwait,,4187161.0,Kuwait City,,0.00688km
2472,Kyrgyzst,Kyrgyz Republic,10/14/1924,6000000.0,Bishkek,pital c,0.077181km
2473,Kyrgyzst,Kyrgyz Republic,12/5/1936,6000000.0,Bishkek,pital c,0.077181km
2476,Ladoni,Royal Republic of Ladoni,6/2/1996,,,,1km
2498,Laos,Lao People's Democratic Republic,12/2/1975,6803699.0,Vientiane,,0.091429km
2521,Latvi,Republic of Latvi,11/18/1918,1973700.0,Rig,,0.024938km
2522,Latvi,Republic of Latvi,1/26/1921,1973700.0,Rig,,0.024938km
2539,Lebano,Lebanese Republic,9/1/1920,5851000.0,Beiru,Beiru,0.004036km
2540,Lebano,Lebanese Republic,5/23/1926,5851000.0,Beiru,Beiru,0.004036km
2543,Lesotho,Kingdom of Lesoth,10/4/1966,2067000.0,Maseru,Maseru,0.01172km
2552,Liberi,Republic of Liberi,1822-01-07,4503000.0,Monrov,Monrov,0.043km
2553,Liberi,Republic of Liberi,1847-07-26,4503000.0,Monrov,Monrov,0.043km
2554,Liberland,Free Republic of Liberland,4/13/2015,0.0,,,7km
2555,Liby,Liby,2/10/1947,6411776.0,Tripo,,0.679359km
2556,Liby,ليبيا,2/10/1947,6411776.0,Tripo,,0.679359km
2557,Liby,ⵍⵉⴱⵢⴰ,2/10/1947,6411776.0,Tripo,,0.679359km
2558,Liby,Liby,12/24/1951,6411776.0,Tripo,,0.679359km
2559,Liby,ليبيا,12/24/1951,6411776.0,Tripo,,0.679359km
2560,Liby,ⵍⵉⴱⵢⴰ,12/24/1951,6411776.0,Tripo,,0.679359km
2562,Liechtenstei,Principality of Liechtenstei,1806-07-12,37340.0,Vaduz,Schaan,6.1e-05km
2572,Lithuani,Republic of Lithuani,1009-03-09,2884840.0,Vilnius,,0.025212km
2573,Lithuani,Republic of Lithuani,1253-07-06,2884840.0,Vilnius,,0.025212km
2610,Luxembourg,Grand Duchy of Luxembour,,562958.0,Luxembourg City,pital c,0.000998km
2615,Macau,Macao Special Administrative Regi,1887-12-01,643100.0,,,1.1599999999999999e-05km
